Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

summaryId,activityId,unixTimestampInMs,latitudeInDegree,longitudeInDegree,elevationInMeters,airTemperatureCelcius,heartRate,speedMetersPerSecond,stepsPerMinute,totalDistanceInMeters,timerDurationInMs,clockDurationInMs,movingDurationInMs,powerInWatts,bikeCadenceInRPM,swimCadenceInStrokesPerMinute
23277495850-detail,23277495850,1781666789000,,,,,58,,,,87000,87000,0,,,
23277495850-detail,23277495850,1781666790000,,,,,57,,,,88000,88000,0,,,
23277495850-detail,23277495850,1781666791000,,,,,57,,,,89000,89000,0,,,
23277495850-detail,23277495850,1781666792000,,,,,57,,,,90000,90000,0,,,
23277495850-detail,23277495850,1781666793000,,,,,57,,,,91000,91000,0,,,
23277495850-detail,23277495850,1781666794000,,,,,57,,,,92000,92000,0,,,
23277495850-detail,23277495850,1781666795000,,,,,57,,,,93000,93000,0,,,
23277495850-detail,23277495850,1781666796000,,,,,57,,,,94000,94000,0,,,
23277495850-detail,23277495850,1781666797000,,,,,57,,,,95000,95000,0,,,
23277495850-detail,23277495850,1781666798000,,,,,57,,,,96000,96000,0,,,
23277495850-detail,23277495850,1781666799000,,,,,57,,,,97000,97000,0,,,
23277495850-detail,23277495850,1781666800000,,,,,57,,,,98000,98000,0,,,
23277495850-detail,23277495850,1781666801000,,,,,57,,,,99000,99000,0,,,
23277495850-detail,23277495850,1781666802000,,,,,57,,,,100000,100000,0,,,
23277495850-detail,23277495850,1781666803000,,,,,57,,,,101000,101000,0,,,
23277495850-detail,23277495850,1781666804000,,,,,57,,,,102000,102000,0,,,
23277495850-detail,23277495850,1781666805000,,,,,57,,,,103000,103000,0,,,
23277495850-detail,23277495850,1781666806000,,,,,57,,,,104000,104000,0,,,
23277495850-detail,23277495850,1781666807000,,,,,57,,,,105000,105000,0,,,
23277495850-detail,23277495850,1781666808000,,,,,57,,,,106000,106000,0,,,
23277495850-detail,23277495850,1781666809000,,,,,58,,,,107000,107000,0,,,
23277495850-detail,23277495850,1781666810000,,,,,58,,,,108000,108000,0,,,
23277495850-detail,23277495850,1781666811000,,,,,59,,,,109000,109000,0,,,
23277495850-detail,23277495850,1781666812000,,,,,59,,,,110000,110000,0,,,
23277495850-detail,23277495850,1781666813000,,,,,60,,,,111000,111000,0,,,
23277495850-detail,23277495850,1781666814000,,,,,60,,,,112000,112000,0,,,
23277495850-detail,23277495850,1781666815000,,,,,60,,,,113000,113000,0,,,
23277495850-detail,23277495850,1781666816000,,,,,60,,,,114000,114000,0,,,
23277495850-detail,23277495850,1781666817000,,,,,60,,,,115000,115000,0,,,
23277495850-detail,23277495850,1781666818000,,,,,60,,,,116000,116000,0,,,
23277495850-detail,23277495850,1781666819000,,,,,60,,,,117000,117000,0,,,
23277495850-detail,23277495850,1781666820000,,,,,60,,,,118000,118000,0,,,
23277495850-detail,23277495850,1781666821000,,,,,60,,,,119000,119000,0,,,
23277495850-detail,23277495850,1781666822000,,,,,60,,,,120000,120000,0,,,
23277495850-detail,23277495850,1781666823000,,,,,60,,,,121000,121000,0,,,
23277495850-detail,23277495850,1781666824000,,,,,60,,,,122000,122000,0,,,
23277495850-detail,23277495850,1781666825000,,,,,60,,,,123000,123000,0,,,
23277495850-detail,23277495850,1781666826000,,,,,60,,,,124000,124000,0,,,
23277495850-detail,23277495850,1781666827000,,,,,60,,,,125000,125000,0,,,
23277495850-detail,23277495850,1781666828000,,,,,59,,,,126000,126000,0,,,
23277495850-detail,23277495850,1781666829000,,,,,59,,,,127000,127000,0,,,
23277495850-detail,23277495850,1781666830000,,,,,59,,,,128000,128000,0,,,
23277495850-detail,23277495850,1781666831000,,,,,59,,,,129000,129000,0,,,
23277495850-detail,23277495850,1781666832000,,,,,59,,,,130000,130000,0,,,
23277495850-detail,23277495850,1781666833000,,,,,59,,,,131000,131000,0,,,
23277495850-detail,23277495850,1781666834000,,,,,59,,,,132000,132000,0,,,
23277495850-detail,23277495850,1781666835000,,,,,59,,,,133000,133000,0,,,
23277495850-detail,23277495850,1781666836000,,,,,59,,,,134000,134000,0,,,
23277495850-detail,23277495850,1781666837000,,,,,59,,,,135000,135000,0,,,
23277495850-detail,23277495850,1781666838000,,,,,59,,,,136000,136000,0,,,
23277495850-detail,23277495850,1781666839000,,,,,59,,,,137000,137000,0,,,
23277495850-detail,23277495850,1781666840000,,,,,58,,,,138000,138000,0,,,
23277495850-detail,23277495850,1781666841000,,,,,58,,,,139000,139000,0,,,
23277495850-detail,23277495850,1781666842000,,,,,57,,,,140000,140000,0,,,
23277495850-detail,23277495850,1781666843000,,,,,56,,,,141000,141000,0,,,
23277495850-detail,23277495850,1781666844000,,,,,57,,,,142000,142000,0,,,
23277495850-detail,23277495850,1781666845000,,,,,58,,,,143000,143000,0,,,
23277495850-detail,23277495850,1781666846000,,,,,59,,,,144000,144000,0,,,
23277495850-detail,23277495850,1781666847000,,,,,56,,,,145000,145000,0,,,
23277495850-detail,23277495850,1781666848000,,,,,59,,,,146000,146000,0,,,
23277495850-detail,23277495850,1781666849000,,,,,61,,,,147000,147000,0,,,
23277495850-detail,23277495850,1781666850000,,,,,60,,,,148000,148000,0,,,
23277495850-detail,23277495850,1781666851000,,,,,60,,,,149000,149000,0,,,
23277495850-detail,23277495850,1781666852000,,,,,60,,,,150000,150000,0,,,
23277495850-detail,23277495850,1781666853000,,,,,60,,,,151000,151000,0,,,
23277495850-detail,23277495850,1781666854000,,,,,61,,,,152000,152000,0,,,
23277495850-detail,23277495850,1781666855000,,,,,61,,,,153000,153000,0,,,
23277495850-detail,23277495850,1781666856000,,,,,62,,,,154000,154000,0,,,
23277495850-detail,23277495850,1781666857000,,,,,62,,,,155000,155000,0,,,
23277495850-detail,23277495850,1781666858000,,,,,62,,,,156000,156000,0,,,
23277495850-detail,23277495850,1781666859000,,,,,62,,,,157000,157000,0,,,
23277495850-detail,23277495850,1781666860000,,,,,61,,,,158000,158000,0,,,
23277495850-detail,23277495850,1781666861000,,,,,61,,,,159000,159000,0,,,
23277495850-detail,23277495850,1781666862000,,,,,60,,,,160000,160000,0,,,
23277495850-detail,23277495850,1781666863000,,,,,60,,,,161000,161000,0,,,
23277495850-detail,23277495850,1781666864000,,,,,60,,,,162000,162000,0,,,
