Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

sleepSummaryId,timezoneOffsetInMs,unixTimestampInMs,isoDate,breathsPerMinute
x4b803d3-6a2c7530-6108,10800000,1781304960000,2026-06-13T01:56:00.000+03:00,13.69
x4b803d3-6a2c7530-6108,10800000,1781305020000,2026-06-13T01:57:00.000+03:00,13.4
x4b803d3-6a2c7530-6108,10800000,1781305080000,2026-06-13T01:58:00.000+03:00,13.44
x4b803d3-6a2c7530-6108,10800000,1781305140000,2026-06-13T01:59:00.000+03:00,13.73
x4b803d3-6a2c7530-6108,10800000,1781305200000,2026-06-13T02:00:00.000+03:00,14.71
x4b803d3-6a2c7530-6108,10800000,1781305260000,2026-06-13T02:01:00.000+03:00,14.19
x4b803d3-6a2c7530-6108,10800000,1781305320000,2026-06-13T02:02:00.000+03:00,14.12
x4b803d3-6a2c7530-6108,10800000,1781305380000,2026-06-13T02:03:00.000+03:00,14.14
x4b803d3-6a2c7530-6108,10800000,1781305440000,2026-06-13T02:04:00.000+03:00,14.29
x4b803d3-6a2c7530-6108,10800000,1781305500000,2026-06-13T02:05:00.000+03:00,14.3
x4b803d3-6a2c7530-6108,10800000,1781305560000,2026-06-13T02:06:00.000+03:00,13.78
x4b803d3-6a2c7530-6108,10800000,1781305620000,2026-06-13T02:07:00.000+03:00,13.43
x4b803d3-6a2c7530-6108,10800000,1781305680000,2026-06-13T02:08:00.000+03:00,13.51
x4b803d3-6a2c7530-6108,10800000,1781305740000,2026-06-13T02:09:00.000+03:00,13.57
x4b803d3-6a2c7530-6108,10800000,1781305800000,2026-06-13T02:10:00.000+03:00,14.36
x4b803d3-6a2c7530-6108,10800000,1781305860000,2026-06-13T02:11:00.000+03:00,14.83
x4b803d3-6a2c7530-6108,10800000,1781305920000,2026-06-13T02:12:00.000+03:00,14.39
x4b803d3-6a2c7530-6108,10800000,1781305980000,2026-06-13T02:13:00.000+03:00,14.8
x4b803d3-6a2c7530-6108,10800000,1781306040000,2026-06-13T02:14:00.000+03:00,14.55
x4b803d3-6a2c7530-6108,10800000,1781306100000,2026-06-13T02:15:00.000+03:00,14.4
x4b803d3-6a2c7530-6108,10800000,1781306160000,2026-06-13T02:16:00.000+03:00,14.04
x4b803d3-6a2c7530-6108,10800000,1781306220000,2026-06-13T02:17:00.000+03:00,14.55
x4b803d3-6a2c7530-6108,10800000,1781306280000,2026-06-13T02:18:00.000+03:00,14.56
x4b803d3-6a2c7530-6108,10800000,1781306340000,2026-06-13T02:19:00.000+03:00,14.69
x4b803d3-6a2c7530-6108,10800000,1781306400000,2026-06-13T02:20:00.000+03:00,15.19
x4b803d3-6a2c7530-6108,10800000,1781306460000,2026-06-13T02:21:00.000+03:00,14.64
x4b803d3-6a2c7530-6108,10800000,1781306520000,2026-06-13T02:22:00.000+03:00,13.86
x4b803d3-6a2c7530-6108,10800000,1781306580000,2026-06-13T02:23:00.000+03:00,14.54
x4b803d3-6a2c7530-6108,10800000,1781306640000,2026-06-13T02:24:00.000+03:00,14.73
x4b803d3-6a2c7530-6108,10800000,1781306700000,2026-06-13T02:25:00.000+03:00,14.44
x4b803d3-6a2c7530-6108,10800000,1781306760000,2026-06-13T02:26:00.000+03:00,13.92
x4b803d3-6a2c7530-6108,10800000,1781306820000,2026-06-13T02:27:00.000+03:00,13.83
x4b803d3-6a2c7530-6108,10800000,1781306880000,2026-06-13T02:28:00.000+03:00,13.69
x4b803d3-6a2c7530-6108,10800000,1781306940000,2026-06-13T02:29:00.000+03:00,14.51
x4b803d3-6a2c7530-6108,10800000,1781307000000,2026-06-13T02:30:00.000+03:00,14.43
x4b803d3-6a2c7530-6108,10800000,1781307060000,2026-06-13T02:31:00.000+03:00,14.38
x4b803d3-6a2c7530-6108,10800000,1781307120000,2026-06-13T02:32:00.000+03:00,14.46
x4b803d3-6a2c7530-6108,10800000,1781307180000,2026-06-13T02:33:00.000+03:00,14.72
x4b803d3-6a2c7530-6108,10800000,1781307240000,2026-06-13T02:34:00.000+03:00,14.82
x4b803d3-6a2c7530-6108,10800000,1781307300000,2026-06-13T02:35:00.000+03:00,15.19
x4b803d3-6a2c7530-6108,10800000,1781307360000,2026-06-13T02:36:00.000+03:00,16.19
x4b803d3-6a2c7530-6108,10800000,1781307420000,2026-06-13T02:37:00.000+03:00,15.09
x4b803d3-6a2c7530-6108,10800000,1781307480000,2026-06-13T02:38:00.000+03:00,14.16
x4b803d3-6a2c7530-6108,10800000,1781307540000,2026-06-13T02:39:00.000+03:00,14.52
x4b803d3-6a2c7530-6108,10800000,1781307600000,2026-06-13T02:40:00.000+03:00,14.84
x4b803d3-6a2c7530-6108,10800000,1781307660000,2026-06-13T02:41:00.000+03:00,15.39
x4b803d3-6a2c7530-6108,10800000,1781307720000,2026-06-13T02:42:00.000+03:00,15
x4b803d3-6a2c7530-6108,10800000,1781307780000,2026-06-13T02:43:00.000+03:00,14.68
x4b803d3-6a2c7530-6108,10800000,1781307840000,2026-06-13T02:44:00.000+03:00,14.83
x4b803d3-6a2c7530-6108,10800000,1781307900000,2026-06-13T02:45:00.000+03:00,14.72
x4b803d3-6a2c7530-6108,10800000,1781307960000,2026-06-13T02:46:00.000+03:00,13.77
x4b803d3-6a2c7530-6108,10800000,1781308020000,2026-06-13T02:47:00.000+03:00,13.4
x4b803d3-6a2c7530-6108,10800000,1781308080000,2026-06-13T02:48:00.000+03:00,13.97
x4b803d3-6a2c7530-6108,10800000,1781308140000,2026-06-13T02:49:00.000+03:00,14.29
x4b803d3-6a2c7530-6108,10800000,1781308320000,2026-06-13T02:52:00.000+03:00,13.31
x4b803d3-6a2c7530-6108,10800000,1781308380000,2026-06-13T02:53:00.000+03:00,13.18
x4b803d3-6a2c7530-6108,10800000,1781308560000,2026-06-13T02:56:00.000+03:00,13.75
x4b803d3-6a2c7530-6108,10800000,1781308680000,2026-06-13T02:58:00.000+03:00,12.87
x4b803d3-6a2c7530-6108,10800000,1781308740000,2026-06-13T02:59:00.000+03:00,13.4
x4b803d3-6a2c7530-6108,10800000,1781308800000,2026-06-13T03:00:00.000+03:00,13.74
