Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

sleepSummaryId,timezoneOffsetInMs,unixTimestampInMs,isoDate,spo2
x4b803d3-6a346970-44ac,10800000,1781824920000,2026-06-19T02:22:00.000+03:00,89
x4b803d3-6a346970-44ac,10800000,1781824980000,2026-06-19T02:23:00.000+03:00,88
x4b803d3-6a346970-44ac,10800000,1781825040000,2026-06-19T02:24:00.000+03:00,90
x4b803d3-6a346970-44ac,10800000,1781825100000,2026-06-19T02:25:00.000+03:00,89
x4b803d3-6a346970-44ac,10800000,1781825160000,2026-06-19T02:26:00.000+03:00,86
x4b803d3-6a346970-44ac,10800000,1781825220000,2026-06-19T02:27:00.000+03:00,89
x4b803d3-6a346970-44ac,10800000,1781825280000,2026-06-19T02:28:00.000+03:00,88
x4b803d3-6a346970-44ac,10800000,1781825340000,2026-06-19T02:29:00.000+03:00,89
x4b803d3-6a346970-44ac,10800000,1781825400000,2026-06-19T02:30:00.000+03:00,90
x4b803d3-6a346970-44ac,10800000,1781825460000,2026-06-19T02:31:00.000+03:00,92
x4b803d3-6a346970-44ac,10800000,1781825700000,2026-06-19T02:35:00.000+03:00,92
x4b803d3-6a346970-44ac,10800000,1781825940000,2026-06-19T02:39:00.000+03:00,92
x4b803d3-6a346970-44ac,10800000,1781826000000,2026-06-19T02:40:00.000+03:00,92
x4b803d3-6a346970-44ac,10800000,1781827260000,2026-06-19T03:01:00.000+03:00,88
x4b803d3-6a346970-44ac,10800000,1781827320000,2026-06-19T03:02:00.000+03:00,86
x4b803d3-6a346970-44ac,10800000,1781827380000,2026-06-19T03:03:00.000+03:00,86
x4b803d3-6a346970-44ac,10800000,1781827440000,2026-06-19T03:04:00.000+03:00,87
x4b803d3-6a346970-44ac,10800000,1781827500000,2026-06-19T03:05:00.000+03:00,86
x4b803d3-6a346970-44ac,10800000,1781827560000,2026-06-19T03:06:00.000+03:00,87
x4b803d3-6a346970-44ac,10800000,1781827620000,2026-06-19T03:07:00.000+03:00,87
x4b803d3-6a346970-44ac,10800000,1781827680000,2026-06-19T03:08:00.000+03:00,89
x4b803d3-6a346970-44ac,10800000,1781827740000,2026-06-19T03:09:00.000+03:00,87
x4b803d3-6a346970-44ac,10800000,1781827800000,2026-06-19T03:10:00.000+03:00,83
x4b803d3-6a346970-44ac,10800000,1781827860000,2026-06-19T03:11:00.000+03:00,87
x4b803d3-6a346970-44ac,10800000,1781827920000,2026-06-19T03:12:00.000+03:00,90
x4b803d3-6a346970-44ac,10800000,1781827980000,2026-06-19T03:13:00.000+03:00,87
x4b803d3-6a346970-44ac,10800000,1781828040000,2026-06-19T03:14:00.000+03:00,90
x4b803d3-6a346970-44ac,10800000,1781828100000,2026-06-19T03:15:00.000+03:00,90
x4b803d3-6a346970-44ac,10800000,1781828220000,2026-06-19T03:17:00.000+03:00,90
x4b803d3-6a346970-44ac,10800000,1781828580000,2026-06-19T03:23:00.000+03:00,90
x4b803d3-6a346970-44ac,10800000,1781828640000,2026-06-19T03:24:00.000+03:00,91
x4b803d3-6a346970-44ac,10800000,1781828700000,2026-06-19T03:25:00.000+03:00,91
x4b803d3-6a346970-44ac,10800000,1781828820000,2026-06-19T03:27:00.000+03:00,93
x4b803d3-6a346970-44ac,10800000,1781829060000,2026-06-19T03:31:00.000+03:00,95
x4b803d3-6a346970-44ac,10800000,1781829120000,2026-06-19T03:32:00.000+03:00,95
x4b803d3-6a346970-44ac,10800000,1781829180000,2026-06-19T03:33:00.000+03:00,95
x4b803d3-6a346970-44ac,10800000,1781829240000,2026-06-19T03:34:00.000+03:00,94
x4b803d3-6a346970-44ac,10800000,1781829300000,2026-06-19T03:35:00.000+03:00,94
x4b803d3-6a346970-44ac,10800000,1781829480000,2026-06-19T03:38:00.000+03:00,95
x4b803d3-6a346970-44ac,10800000,1781829540000,2026-06-19T03:39:00.000+03:00,95
x4b803d3-6a346970-44ac,10800000,1781829600000,2026-06-19T03:40:00.000+03:00,94
x4b803d3-6a346970-44ac,10800000,1781829720000,2026-06-19T03:42:00.000+03:00,93
x4b803d3-6a346970-44ac,10800000,1781830140000,2026-06-19T03:49:00.000+03:00,94
x4b803d3-6a346970-44ac,10800000,1781830560000,2026-06-19T03:56:00.000+03:00,94
x4b803d3-6a346970-44ac,10800000,1781831220000,2026-06-19T04:07:00.000+03:00,94
x4b803d3-6a346970-44ac,10800000,1781831340000,2026-06-19T04:09:00.000+03:00,94
x4b803d3-6a346970-44ac,10800000,1781831520000,2026-06-19T04:12:00.000+03:00,94
x4b803d3-6a346970-44ac,10800000,1781832540000,2026-06-19T04:29:00.000+03:00,94
x4b803d3-6a346970-44ac,10800000,1781832660000,2026-06-19T04:31:00.000+03:00,94
x4b803d3-6a346970-44ac,10800000,1781832720000,2026-06-19T04:32:00.000+03:00,92
